ID,RA±,NPD±,RA1860,RAF1860,NPD1860,Dec1860,DecF1860,Dsp
NGC 5256,,,13 32 33,13h32m33s,40 59.6,49 0.4,49°0.4',"extremely faint, very small, round, gradually brighter middle"
NGC 5257,,,13 32 45,13h32m45s,88 26.9,1 33.1,1°33.1',"very faint, small, round, brighter middle, western of double nebula"
NGC 5258,,,13 32 49,13h32m49s,88 27.3,1 32.7,1°32.7',"faint, small, irregularly round, eastern of double nebula"
NGC 5259,,,13 33 00,13h33m00s,58 18.1,31 41.9,31°41.9',"very faint, small, irregularly round"
NGC 5260,,,13 33 08,13h33m08s,113 10.5,-23 10.5,-23°10.5',"extremely faint, pretty large, 3 stars to east in a line"
NGC 5261,,,13 33 14,13h33m14s,84 13.1,5 46.9,5°46.9',"very faint, round, among pretty bright stars"
NGC 5262,,,13 33 14,13h33m14s,14 14.2,75 45.8,75°45.8',"extremely faint, small"
NGC 5263,,,13 33 25,13h33m25s,60 53.5,29 6.5,29°6.5',"considerably faint, small, much extended 0°±, 9th magnitude star to southwest"
NGC 5264,,,13 33 44,13h33m44s,119 12.5,-29 12.5,-29°12.5',"very faint, pretty large, round, very little brighter middle"
NGC 5265,,,13 33 59,13h33m59s,52 25.5,37 34.5,37°34.5',"faint, considerably small, very little extended, extremely mottled but not resolved"
NGC 5266,,,13 34 28,13h34m28s,137 27.7,-47 27.7,-47°27.7',"bright, pretty large, very little extended, very gradually a little brighter middle, 3 stars near"
NGC 5267,,,13 34 33,13h34m33s,50 30.0,39 30,39°30',"faint, small, round, gradually brighter middle, small star to northwest"
NGC 5268,,,13 34 44,13h34m44s,103 09.1,-13 9.1,-13°9.1',a nebula (Auwers 32)
NGC 5269,,,13 35 04,13h35m04s,152 11.8,-62 11.8,-62°11.8',"a cluster, poor, large, irregular figure, stars of 12th magnitude"
NGC 5270,,,13 35 06,13h35m06s,85 01.7,4 58.3,4°58.3',"extremely faint, small, between 2 stars"
NGC 5271,,,13 35 18,13h35m18s,59 10.0,30 50,30°50',"very faint, very small, round, gradually a very little brighter middle"
NGC 5272,,,13 35 44,13h35m44s,60 54.9,29 5.1,29°5.1',"a very remarkable object, a globular cluster, extremely bright, very large, very suddenly much brighter middle, stars from 11th magnitude"
NGC 5273,,,13 35 54,13h35m54s,53 38.3,36 21.7,36°21.7',"considerably bright, pretty large, round, gradually then pretty suddenly much brighter middle"
NGC 5274,,,13 35 59,13h35m59s,59 26.7,30 33.3,30°33.3',"very faint, very small, round, brighter middle"
NGC 5275,,,13 35 59,13h35m59s,59 28.1,30 31.9,30°31.9',"faint, small, round, gradually much brighter middle"
NGC 5276,,,13 36 09,13h36m09s,53 37.8,36 22.2,36°22.2',"faint, small"
NGC 5277,,,13 36 14,13h36m14s,59 20.4,30 39.6,30°39.6',"extremely faint, small, round, brighter middle"
NGC 5278,,,13 36 25,13h36m25s,33 37.4,56 22.6,56°22.6',"pretty faint, round, very small nebula 40 arcsec to east, star to north"
NGC 5279,,,13 36 30,13h36m30s,33 37.2,56 22.8,56°22.8',"faint, very small, eastern of 2"
NGC 5280,,,13 36 32,13h36m32s,59 25.5,30 34.5,30°34.5',"faint, very small, round, brighter middle"
NGC 5281,,,13 36 55,13h36m55s,152 11.8,-62 11.8,-62°11.8',"a cluster, bright, small, pretty compressed, irregularly round, stars from 10th to 12th magnitude"
NGC 5282,,,13 37 01,13h37m01s,59 13.5,30 46.5,30°46.5',"faint, small, round, gradually brighter middle equivalent to 14th magnitude star"
NGC 5283,,,13 37 09,13h37m09s,21 37.3,68 22.7,68°22.7',"faint, small, stellar"
NGC 5284,,,13 37 15,13h37m15s,148 29.4,-58 29.4,-58°29.4',"a cluster, large, very rich, stars from 7th to 16th magnitude"
NGC 5285,,,13 37 19,13h37m19s,87 11.1,2 48.9,2°48.9',"extremely faint, very small, round, gradually a very little brighter middle"
NGC 5286,,,13 37 38,13h37m38s,140 40.1,-50 40.1,-50°40.1',"a globular cluster, very bright, pretty large, round, well resolved, clearly consisting of stars of 15th magnitude"
NGC 5287,,,13 38 30,13h38m30s,59 31.4,30 28.6,30°28.6',"faint, small, irregular, mottled but not resolved?"
NGC 5288,,,13 38 48,13h38m48s,153 59.3,-63 59.3,-63°59.3',"a cluster, small, compressed, irregularly round, stars of 14th magnitude"
NGC 5289,,,13 39 10,13h39m10s,47 47.6,42 12.4,42°12.4',"very faint, very small, a little extended 90°±, suddenly brighter middle"
NGC 5290,,,13 39 20,13h39m20s,47 34.5,42 25.5,42°25.5',"considerably bright, pretty large, extended 90°±, brighter middle and nucleus"
NGC 5291,,,13 39 26,13h39m26s,119 41.2,-29 41.2,-29°41.2',"very faint, round, a very little brighter middle, double star to west"
NGC 5292,,,13 39 41,13h39m41s,120 13.2,-30 13.2,-30°13.2',"pretty faint, small, round, 2 stars near"
NGC 5293,,,13 39 56,13h39m56s,72 59.2,17 0.8,17°0.8',"extremely faint, very large, mottled but not resolved"
NGC 5294,,,13 39 57,13h39m57s,34 00.4,55 59.6,55°59.6',"extremely faint, 2 stars attached or involved"
NGC 5295,,,13 40 21,13h40m21s,09 52.1,80 7.9,80°7.9',"very faint, very small, round"
NGC 5296,,1.0,13 40,13h40m00s,45 28,44 32,44°32',"round, brighter middle, is southwest of h 1668"
NGC 5297,,,13 40 32,13h40m32s,45 27.5,44 32.5,44°32.5',"considerably bright, large, pretty much extended 142°, gradually brighter middle"
NGC 5298,,,13 40 40,13h40m40s,119 44.4,-29 44.4,-29°44.4',"faint, small, round, gradually brighter middle"
NGC 5299,,,13 40 52,13h40m52s,149 14.7,-59 14.7,-59°14.7',"a cluster, very large, very rich"
NGC 5300,,,,,,,,
NGC 5301,,,,,,,,
NGC 5302,,,,,,,,
NGC 5303,,,,,,,,
NGC 5304,,,,,,,,
NGC 5305,,,,,,,,
NGC 5306,,,,,,,,
NGC 5307,,,13 42 12,13h42m12s,140 30.6,-50 30.6,-50°30.6',"a planetary nebula, or a very faint, extremely small, double nebula"
NGC 5308,,,,,,,,
NGC 5309,,,,,,,,
NGC 5310,,,,,,,,
NGC 5311,,,,,,,,
NGC 5312,,,,,,,,
NGC 5313,,,,,,,,
NGC 5314,,,,,,,,
NGC 5315,,,,,,,,
NGC 5316,,,,,,,,
NGC 5317,,,13 44 08,13h44m08s,84 18.5,5 41.5,5°41.5',"very faint, very large, round, very gradually brighter middle"
NGC 5318,,,,,,,,
NGC 5319,,,,,,,,
NGC 5320,,,,,,,,
NGC 5321,,,,,,,,
NGC 5322,,,,,,,,
NGC 5323,,,,,,,,
NGC 5324,,,,,,,,
NGC 5325,,,,,,,,
NGC 5326,,,,,,,,
NGC 5327,,,,,,,,
NGC 5328,,,,,,,,
NGC 5329,,,,,,,,
NGC 5330,,,,,,,,
NGC 5331,,,,,,,,
NGC 5332,,,,,,,,
NGC 5333,,,,,,,,
NGC 5334,,,,,,,,
NGC 5335,,,,,,,,
NGC 5336,,,,,,,,
NGC 5337,,,,,,,,
NGC 5338,,,,,,,,
NGC 5339,,,,,,,,
NGC 5340,,,,,,,,
NGC 5341,,,,,,,,
NGC 5342,,,,,,,,
NGC 5343,,,,,,,,
NGC 5344,,,,,,,,
NGC 5345,,,,,,,,
NGC 5346,,,,,,,,
NGC 5347,,,,,,,,
NGC 5348,,,,,,,,
NGC 5349,,,,,,,,
NGC 5350,,,13 47 26,13h47m26s,48 56.3,41 3.7,41°3.7',"considerably faint, prettylarge, brighter middle, 7th magnitude star to west, 1st of 4"
NGC 5351,,,13 47 26,13h47m26s,51 23.7,38 36.3,38°36.3',"considerably faint, large, a little extended 90°, very gradually brighter middle"
NGC 5352,,,13 47 32,13h47m32s,53 10.1,36 49.9,36°49.9',"considerably faint, small, round, a little brighter middle, star 90"
NGC 5353,,,13 47 32,13h47m32s,49 01.6,40 58.4,40°58.4',"pretty bright, small, round, 2nd of 4"
NGC 5354,,,13 47 32,13h47m32s,49 00.4,40 59.6,40°59.6',"pretty faint, small, round, 3rd of 4"
NGC 5355,,,13 47 45,13h47m45s,48 57.6,41 2.4,41°2.4',"very faint, pretty small, 4th of 4"
NGC 5356,,,13 47 56,13h47m56s,83 58.7,6 1.3,6°1.3',"faint, pretty large, very much extended 17°, mottled but not resolved"
NGC 5357,,,13 47 58,13h47m58s,119 38.9,-29 38.9,-29°38.9',"pretty faint, small, round, gradually a little brighter middle, between two 10th magnitude stars"
NGC 5358,,,13 48 05,13h48m05s,49 01.9,40 58.1,40°58.1',"very faint, very small, round, 2 very faint stars involved"
NGC 5359,,,13 48 31,13h48m31s,159 43.3,-69 43.3,-69°43.3',"a cluster, very large, a little rich, a little compressed, stars of 11th magnitude"
NGC 5360,,,13 48 34,13h48m34s,84 18,5 42,5°42',"very faint, very small, a little extended"
NGC 5361,,,13 48 39,13h48m39s,50 52.9,39 7.1,39°7.1',"extremely faint, considerably small, extended"
NGC 5362,,,13 48 59,13h48m59s,48 03.4,41 56.6,41°56.6',"pretty bright, pretty large, extended"
NGC 5363,,,13 49 05,13h49m05s,84 03.5,5 56.5,5°56.5',"bright, pretty large, round, pretty suddenly brighter middle, 8th magnitude star to northeast"
NGC 5364,,,13 49 10,13h49m10s,84 17.8,5 42.2,5°42.2',"considerably faint, large, round, gradually brighter middle"
NGC 5365,,,13 49 16,13h49m16s,133 14.7,-43 14.7,-43°14.7',"pretty bright, considerably small, round, pretty gradually brighter middle, among stars"
NGC 5366,,,13 49 19,13h49m19s,89 31.2,0 28.8,0°28.8',"small, round, 9th magnitude star 2 arcmin distant"
NGC 5367,,,13 49 21,13h49m21s,129 17.7,-39 17.7,-39°17.7',"a remarkable object, very bright, very large, very little then very suddenly much brighter middle like a double star"
NGC 5368,,,13 49 24,13h49m24s,34 58.6,55 1.4,55°1.4',"faint, considerably small, round, stellar, 16th magnitude star to northeast"
NGC 5369,,,13 49 33,13h49m33s,94 48.5,-4 48.5,-4°48.5',"very faint, very small, round"
NGC 5370,,,13 49 39,13h49m39s,28 37.5,61 22.5,61°22.5',"faint, small"
NGC 5371,,,13 49 47,13h49m47s,48 49.7,41 10.3,41°10.3',"pretty bright, large, round, brighter middle and faint nucleus"
NGC 5372,,,13 49 49,13h49m49s,30 39.6,59 20.4,59°20.4',"considerably faint, small, extended, double star involved?"
NGC 5373,,,13 50 05,13h50m05s,84 03,5 57,5°57',"very faint, very small, stellar"
NGC 5374,,,13 50 29,13h50m29s,83 12.9,6 47.1,6°47.1',"considerably faint, pretty large, round, very gradually brighter middle, 11th magnitude star to northwest"
NGC 5375,,,13 50 37,13h50m37s,60 09.0,29 51,29°51',"pretty bright, pretty large, round, a little brighter middle"
NGC 5376,,,13 50 37,13h50m37s,29 48.4,60 11.6,60°11.6',"considerably bright, pretty large, very little extended, very gradually much brighter middle"
NGC 5377,,,13 50 44,13h50m44s,42 05.5,47 54.5,47°54.5',
NGC 5378,,,13 50 47,13h50m47s,51 31.6,38 28.4,38°28.4',"pretty bright, a little extended, very gradually a little brighter middle"
NGC 5379,,,13 50 56,13h50m56s,29 34.5,60 25.5,60°25.5',"pretty bright, pretty small, extended, much brighter middle"
NGC 5380,,,13 50 57,13h50m57s,51 42.3,38 17.7,38°17.7',"faint, considerably small, round, suddenly much brighter middle"
NGC 5381,,,13 50 58,13h50m58s,148 54.5,-58 54.5,-58°54.5',"a cluster, rich, very compressed, pretty large, stars from 11th to 12th magnitude"
NGC 5382,,,13 51 16,13h51m16s,83 03.7,6 56.3,6°56.3',"very faint, very small, mottled but not resolved, stellar"
NGC 5383,,,13 51 18,13h51m18s,47 28.3,42 31.7,42°31.7',"considerably bright, considerably large, round, gradually brighter middle"
NGC 5384,,,13 51 18,13h51m18s,82 49,7 11,7°11',"faint, very small, stellar"
NGC 5385,,,13 51 19,13h51m19s,13 08.0,76 52,76°52',"a cluster, poor, small"
NGC 5386,,,13 51 23,13h51m23s,82 58.6,7 1.4,7°1.4',"very faint, very small, binuclear, mottled but not resolved, stellar"
NGC 5387,,,13 51 24,13h51m24s,83 15,6 45,6°45',
NGC 5388,,,13 51 25,13h51m25s,103 28.1,-13 28.1,-13°28.1',"faint, small, round, very gradually brighter middle"
NGC 5389,,,13 51 30,13h51m30s,29 34.3,60 25.7,60°25.7',"pretty bright, pretty large, extended, much brighter middle and nucleus"
NGC 5390,,,13 51 31,13h51m31s,48 52.6,41 7.4,41°7.4',"faint, large, very gradually brighter middle, 9th magnitude star to northeast"
NGC 5391,,,13 52 03,13h52m03s,42 59.5,47 0.5,47°0.5',"faint, very small, star close"
NGC 5392,,,13 52 11,13h52m11s,92 31.4,-2 31.4,-2°31.4',"very faint, considerably small, round, gradually brighter middle"
NGC 5393,,,13 52 33,13h52m33s,118 11.3,-28 11.3,-28°11.3',"very faint, small, round, gradually a little brighter middle"
NGC 5394,,,13 52 35,13h52m35s,51 52.1,38 7.9,38°7.9',"considerably faint, small, northwestern of 2"
NGC 5395,,,13 52 38,13h52m38s,51 53.9,38 6.1,38°6.1',"considerably faint, considerably large, extended 15°, a little brighter middle, southeastern of 2"
NGC 5396,,,13 52 39,13h52m39s,60 11.5,29 48.5,29°48.5',"very faint, small, irregularly round, suddenlybrighter middle like a star"
NGC 5397,,,13 52 56,13h52m56s,123 16.4,-33 16.4,-33°16.4',"very faint, small, round, gradually brighter middle"
NGC 5398,,,13 53 11,13h53m11s,122 23.3,-32 23.3,-32°23.3',"pretty bright, pretty large, round, very gradually brighter middle"
NGC 5399,,,13 53 25,13h53m25s,54 32.6,35 27.4,35°27.4',"extremely faint, very small, pretty much extended 90°"
NGC 5400,,,,,,,,
NGC 5401,,,,,,,,
NGC 5402,,,,,,,,
NGC 5403,,,,,,,,
NGC 5404,,,,,,,,
NGC 5405,,,,,,,,
NGC 5406,,,,,,,,
NGC 5407,,,,,,,,
NGC 5408,,,,,,,,
NGC 5409,,,,,,,,
NGC 5410,,,,,,,,
NGC 5411,,,,,,,,
NGC 5412,,,,,,,,
NGC 5413,,,,,,,,
NGC 5414,,,,,,,,
NGC 5415,,,,,,,,
NGC 5416,,,,,,,,
NGC 5417,,,,,,,,
NGC 5418,,,,,,,,
NGC 5419,,,,,,,,
NGC 5420,,,,,,,,
NGC 5421,,,,,,,,
NGC 5422,,,,,,,,
NGC 5423,,,,,,,,
NGC 5424,,,,,,,,
NGC 5425,,,,,,,,
NGC 5426,,,,,,,,
NGC 5427,,,,,,,,
NGC 5428,,,,,,,,
NGC 5429,,,,,,,,
NGC 5430,,,,,,,,
NGC 5431,,,,,,,,
NGC 5432,,,,,,,,
NGC 5433,,,,,,,,
NGC 5434,,,,,,,,
NGC 5435,,,,,,,,
NGC 5436,,,,,,,,
NGC 5437,,,,,,,,
NGC 5438,,,,,,,,
NGC 5439,,,,,,,,
NGC 5440,,,,,,,,
NGC 5441,,,,,,,,
NGC 5442,,,,,,,,
NGC 5443,,,,,,,,
NGC 5444,,,,,,,,
NGC 5445,,,,,,,,
NGC 5446,,,,,,,,
NGC 5447,,,,,,,,
NGC 5448,,,,,,,,
NGC 5449,,,,,,,,
NGC 5450,,,,,,,,
NGC 5451,,,,,,,,
NGC 5452,,,,,,,,
NGC 5453,,,,,,,,
NGC 5454,,,,,,,,
NGC 5455,,,,,,,,
NGC 5456,,,,,,,,
NGC 5457,,,13 58 14,13h58m14s,34 58.6,55 1.4,55°1.4',"pretty bright, very large, irregularly round, very suddenly much brighter middle with bright small nucleus"
NGC 5458,,,,,,,,
NGC 5459,,,,,,,,
NGC 5460,,,13 58 40,13h58m40s,137 38.9,-47 38.9,-47°38.9',"a cluster, very large, very little compressed, stars from 8th magnitude downwards."
NGC 5461,,,,,,,,
NGC 5462,,,,,,,,
NGC 5463,,,,,,,,
NGC 5464,,,,,,,,
NGC 5465,,,,,,,,
NGC 5466,,,,,,,,
NGC 5467,,,,,,,,
NGC 5468,,,13 59 18,13h59m18s,94 47.5,-4 47.5,-4°47.5',"faint, large, round, very gradually brighter middle, 9th magnitude star 4 arcmin to southeast"
NGC 5469,,,,,,,,
NGC 5470,,,,,,,,
NGC 5471,,,,,,,,
NGC 5472,,,,,,,,
NGC 5473,,,,,,,,
NGC 5474,,,,,,,,
NGC 5475,,,,,,,,
NGC 5476,,,,,,,,
NGC 5477,,,,,,,,
NGC 5478,,,,,,,,
NGC 5479,,,,,,,,
NGC 5480,,,,,,,,
NGC 5481,,,,,,,,
NGC 5482,,,,,,,,
NGC 5483,,,,,,,,
NGC 5484,,,,,,,,
NGC 5485,,,,,,,,
NGC 5486,,,,,,,,
NGC 5487,,,,,,,,
NGC 5488,,,,,,,,
NGC 5489,,,,,,,,
NGC 5490,,,,,,,,
NGC 5491,,,,,,,,
NGC 5492,,,,,,,,
NGC 5493,,,,,,,,
NGC 5494,,,,,,,,
NGC 5495,,,,,,,,
NGC 5496,,,,,,,,
NGC 5497,,,,,,,,
NGC 5498,,,,,,,,
NGC 5499,,,,,,,,
NGC 5500,,,14 05 06,14h05m06s,40 46.2,49 13.8,49°13.8',"considerably faint, considerably small, irregularly round"
NGC 5501,,,14 05 13,14h05m13s,88 05.1,1 54.9,1°54.9',"very faint, small, partially resolved, some stars seen"
NGC 5502,,,14 05 20,14h05m20s,28 53.6,61 6.4,61°6.4',"most extremely faint, pretty small, round, very difficult, between 2 stars"
NGC 5503,,,14 05 27,14h05m27s,28 56.1,61 3.9,61°3.9',"most extremely faint, very small, round, very difficult, 2 stars near"
NGC 5504,,,14 05 34,14h05m34s,73 29.9,16 30.1,16°30.1',"very faint, very little extended, very little brighter middle"
NGC 5505,,,14 05 43,14h05m43s,76 03.5,13 56.5,13°56.5',"very faint, pretty small, between a star and a double star"
NGC 5506,,,14 05 59,14h05m59s,92 32.7,-2 32.7,-2°32.7',"pretty bright, large, extended 20°±, little brighter middle"
NGC 5507,,,14 06 06,14h06m06s,92 29.5,-2 29.5,-2°29.5',"considerably faint, small, round, stellar"
NGC 5508,,,14 06 06,14h06m06s,64 42.4,25 17.6,25°17.6',"extremely faint, extremely small, round, little brighter middle"
NGC 5509,,,14 06 09,14h06m09s,68 41,21 19,21°19',"very faint, small, round, stellar nucleus"
NGC 5510,,,14 06 20,14h06m20s,107 18.5,-17 18.5,-17°18.5',"very faint, small, round, gradually brighter middle"
NGC 5511,,,14 06 22,14h06m22s,80 43.5,9 16.5,9°16.5',"very faint, small, 10th magnitude star to west"
NGC 5512,,,14 06 32,14h06m32s,58 29.1,31 30.9,31°30.9',"very faint, very small, round, suddenly brighter middle and nucleus, mottled but not resolved?"
NGC 5513,,,14 06 36,14h06m36s,68 55.1,21 4.9,21°4.9',"pretty bright, pretty large, irregularly round"
NGC 5514,,,14 06 45,14h06m45s,81 40.7,8 19.3,8°19.3',"faint, pretty small, round, little brighter middle, 16th magnitude star to northeast"
NGC 5515,,,14 06 51,14h06m51s,50 01.9,39 58.1,39°58.1',"very faint, small, very little extended"
NGC 5516,,,14 06 55,14h06m55s,137 27.5,-47 27.5,-47°27.5',"pretty faint, small, round, pretty suddenly brighter middle, small (faint) double star to northeast"
NGC 5517,,,14 06 55,14h06m55s,53 37.7,36 22.3,36°22.3',"faint, extremely small, round, brighter middle and nucleus"
NGC 5518,,,14 07 17,14h07m17s,68 29.7,21 30.3,21°30.3',"faint, very small, round, gradually brighter middle"
NGC 5519,,,14 07 25,14h07m25s,81 49.3,8 10.7,8°10.7',"very faint, pretty large, 10th magnitude star to west"
NGC 5520,,,14 07 50,14h07m50s,38 59.5,51 0.5,51°0.5',"faint, small, a little extended, stellar"
NGC 5521,,,14 08 21,14h08m21s,84 56.1,5 3.9,5°3.9',"faint, small, round, brighter middle"
NGC 5522,,,14 08 24,14h08m24s,74 14.0,15 46,15°46',"very faint, very small, extended"
NGC 5523,,,14 08 31,14h08m31s,64 00.9,25 59.1,25°59.1',"faint, pretty large, pretty much extended 90°, 10th magnitude star to northwest"
NGC 5524,1.0,1.0,14 08 47,14h08m47s,52 57,37 3,37°3',very faint
NGC 5525,,,14 08 56,14h08m56s,75 03.9,14 56.1,14°56.1',"pretty faint, pretty small, irregularly round, brighter middle"
NGC 5526,,,14 09 18,14h09m18s,31 34.4,58 25.6,58°25.6',"very faint, small, extended, mottled but not resolved"
NGC 5527,1.0,1.0,14 09 19,14h09m19s,53 06,36 54,36°54',most extremely faint
NGC 5528,,,14 09 31,14h09m31s,81 03.1,8 56.9,8°56.9',"most extremely faint, pretty small, round, 2 very faint stars near"
NGC 5529,,,14 09 40,14h09m40s,53 07.6,36 52.4,36°52.4',"considerably faint, pretty large, very much extended 110°, very gradually very much brighter middle"
NGC 5530,,,14 09 42,14h09m42s,132 43.5,-42 43.5,-42°43.5',"a remarkable object, very faint, pretty much extended, extremely suddenly very much brighter middle equivalent to 12th magnitude star"
NGC 5531,,,14 09 53,14h09m53s,78 28.0,11 32,11°32',"faint, small, round, III 47 ten seconds of time to the east"
NGC 5532,,,14 10 03,14h10m03s,78 32.2,11 27.8,11°27.8',"very faint, very small, round, gradually brighter middle, mottled but not resolved"
NGC 5533,,,14 10 10,14h10m10s,53 59.9,36 0.1,36°0.1',"pretty bright, round, very suddenly much brighter middle, 2 or 3 stars involved"
NGC 5534,,,14 10 17,14h10m17s,96 46.0,-6 46,-6°46',"pretty faint, star involved, 12th magnitude star to northwest"
NGC 5535,,,14 10 38,14h10m38s,81 09,8 51,8°51',"extremely faint, small, irregularly round"
NGC 5536,,,14 10 40,14h10m40s,49 51.6,40 8.4,40°8.4',"considerably faint, very small, round, southwestern of 2"
NGC 5537,,,,,,,,
NGC 5538,,,14 10 41,14h10m41s,81 53,8 7,8°7',"extremely faint, small, extended"
NGC 5539,,,14 10 44,14h10m44s,81 10.2,8 49.8,8°49.8',"faint, pretty large, irregular figure, gradually brighter middle"
NGC 5540,,,14 10 45,14h10m45s,29 20.1,60 39.9,60°39.9',"extremely faint, very small, round, stellar"
NGC 5541,,,14 10 48,14h10m48s,49 45.7,40 14.3,40°14.3',
NGC 5542,,,14 10 57,14h10m57s,81 47.1,8 12.9,8°12.9',"very faint, very small"
NGC 5543,,,14 11 09,14h11m09s,81 41.1,8 18.9,8°18.9',"extremely faint, very small"
NGC 5544,,,14 11 09,14h11m09s,52 46.7,37 13.3,37°13.3',"faint, pretty small, elongated 80°, and a double nebula (with NGC 5545) or binuclear"
NGC 5545,,,14 11 10,14h11m10s,52 47,37 13,37°13',"extended, a little brighter middle, and a double nebula (with NGC 5544) or binuclear"
NGC 5546,,,14 11 14,14h11m14s,81 46.9,8 13.1,8°13.1',"pretty bright, considerably small, gradually brighter middle"
NGC 5547,,,14 11 36,14h11m36s,10 44.8,79 15.2,79°15.2',"extremely faint, very small, extended 0°±"
NGC 5548,,,,,,,,
NGC 5549,,,14 11 43,14h11m43s,81 58.7,8 1.3,8°1.3',"very faint, very small, round"
NGC 5550,,,14 11 44,14h11m44s,76 27.9,13 32.1,13°32.1',"very faint, considerably small, pretty much extended"
NGC 5551,,,14 11 53,14h11m53s,83 55,6 5,6°5',3 stars in nebulosity
NGC 5552,,,14 12 12,14h12m12s,82 19,7 41,7°41',"very faint, small"
NGC 5553,,,14 12 13,14h12m13s,63 04.8,26 55.2,26°55.2',"very faint, small, a little extended"
NGC 5554,,,14 12 19,14h12m19s,82 19,7 41,7°41',"extremely faint, small"
NGC 5555,,,14 12 20,14h12m20s,108 28.6,-18 28.6,-18°28.6',"very faint, small, irregularly round, gradually brighter middle and nucleus"
NGC 5556,,,14 12 25,14h12m25s,118 36.2,-28 36.2,-28°36.2',"extremely faint, large, small star involved"
NGC 5557,,,14 12 34,14h12m34s,52 51.6,37 8.4,37°8.4',"considerably bright, small, round, very suddenly brighter middle like a star"
NGC 5558,,,14 12 46,14h12m46s,82 19.0,7 41,7°41',"extremely faint, small, a little extended, northwestern of 2"
NGC 5559,,,14 12 51,14h12m51s,64 32.7,25 27.3,25°27.3',"very faint, small, very little extended, brighter middle"
NGC 5560,,,14 13 02,14h13m02s,85 21.8,4 38.2,4°38.2',"pretty faint, considerably large, extended, gradually brighter middle"
NGC 5561,,,14 13 04,14h13m04s,30 36.2,59 23.8,59°23.8',"extremely faint, pretty small, round, faint star close to west"
NGC 5562,,,14 13 15,14h13m15s,79 22,10 38,10°38',"very faint, small, very faint star 3 seconds of time to east"
NGC 5563,,,14 13 16,14h13m16s,82 17,7 43,7°43',"extremely faint, small, a little extended"
NGC 5564,,,14 13 17,14h13m17s,82 20.0,7 40,7°40',"extremely faint, small, probably = Marth 279"
NGC 5565,,,14 13 17,14h13m17s,82 20.5,7 39.5,7°39.5',"extremely faint, small, very difficult, probably = Marth 279"
NGC 5566,,,14 13 18,14h13m18s,85 24.3,4 35.7,4°35.7',"bright, pretty large, round, pretty suddenly brighter middle, mottled but not resolved, 12th magnitude star 1.5 arcmin to east"
NGC 5567,,,14 13 21,14h13m21s,54 13.9,35 46.1,35°46.1',"pretty faint, round"
NGC 5568,,,14 13 22,14h13m22s,54 16,35 44,35°44',"very faint, small, very diffuse"
NGC 5569,,,14 13 30,14h13m30s,85 24,4 36,4°36',"extremely faint, pretty large, round"
NGC 5570,,,14 13 32,14h13m32s,81 50.4,8 9.6,8°9.6',"faint, small, irregularly round"
NGC 5571,,,14 13 37,14h13m37s,54 12,35 48,35°48',
NGC 5572,,,14 13 44,14h13m44s,53 12.8,36 47.2,36°47.2',"extremely faint, very small, brighter middle"
NGC 5573,,,14 13 46,14h13m46s,82 27,7 33,7°33',"very faint, small, a little extended"
NGC 5574,,,14 13 53,14h13m53s,86 07.2,3 52.8,3°52.8',"pretty faint, pretty small, a little extended, western of 2"
NGC 5575,,,14 14 00,14h14m00s,83 08,6 52,6°52',"faint, very small, or nebulous star"
NGC 5576,,,14 14 01,14h14m01s,86 05.1,3 54.9,3°54.9',"bright, small, round, very suddenly much brighter middle, eastern of 2"
NGC 5577,,,14 14 09,14h14m09s,85 54.9,4 5.1,4°5.1',"pretty faint, pretty large, very much extended 53°"
NGC 5578,,,14 14 16,14h14m16s,83 09.0,6 51,6°51',"very faint, very small, a little extended, much brighter middle and nucleus"
