No.,G.C.,J.H.,W.H.,Obsver,h,m,s,+-,AP1,°,',+-,AP2,Dsp,Notes
N4601,3139,3405,...,...,12,33,24,,+3.24,130,09.0,,+19.8,"eF, L, R, pslbM, p of 2",...
N4602,3140,1380,II 184,...,12,33,27,,+3.09,94,21.8,,+19.8,"F, L, E, vglbM",...
N4603,3141,3406,...,...,12,33,31,,+3.24,130,12.0,,+19.8,"F, L, R, vgbM, r",...
N4604,...,...,...,Peters,12,33,32,,+3.09,94,22.6,,+19.8,No description,...
N4605,3142,1381,I 254,...,12,33,45,,+2.69,27,37.2,,+19.8,"B, L, vmE 118.6d, glbM",...
N4606,3143,1382,III 43,...,12,33,53,,+3.03,77,20.2,,+19.8,"vF, pS, E, 2 or 3 vS st inv",...
N4607,...,...,...,Ld R,12,34,07,,+3.03,77,20,,+19.8,"F, mE, 3' or 4' f III 43",...
N4608,3144,1383,II 69,...,12,34,08,,+3.03,79,04.5,,+19.8,"pB, pL, R, psbM, r, *12 np 1'",...
N4609,3145,3407,...,Dunlop 272,12,34,13,,+3.46,152,12.1,,+19.8,"Cl, pL, pC, cE, st 10",...
N4610,3147,...,II 19,...,12,34,20,,+3.04,81,30.9,,+19.8,"F, vL (Place uncertain)",*
N4611,...,...,...,St XII,12,34,23,,+3.02,75,30.1,,+19.8,"eF, S, lE, bet 2 v F st",...
N4612,3148=3174,1384,II 148=II 20,...,12,34,27,,+3.04,81,54.9,,+19.8,"pB, S, R, psmbM",*
N4613,5665,...,...,d'A,12,34,34,,+2.97,63,09.1,,+19.8,"vF, S, lE, 1st of 3",...
N4614,5666,...,...,d'A,12,34,38,,+2.97,63,11.4,,+19.8,"F, S, R, *12 np, 2nd of 3",...
N4615,5667,...,...,d'A,12,34,44,,+2.97,63,09.8,,+19.8,"F, pL, E, 3rd of 3",...
N4616,3149,3408,...,...,12,34,45,,+3.25,129,54.2,,+19.8,"eF, vS, R, * att nf, p of 2",...
N4617,3150,...,II 744,...,12,34,46,,+2.82,38,48.8,,+19.8,"pF, S, iR, er",...
N4618,"3151,3152",1385,"I 178,I 179",...,12,34,50,,+2.89,48,04.8,,+19.8,"B, L, E, mbM, curved branch n",#
N4619,3154,1388,II 411,...,12,34,57,,+2.92,54,09.9,,+19.8,"F, pS, R, lbM, *8-9 f",...
N4620,3153,1387,...,...,12,34,58,,+3.02,76,17.5,,+19.8,"vF, S, R, vgbM",...
N4621,3155,1386,...,M 59,12,34,58,,+3.03,77,35.1,,+19.8,"B, pL, lE, vsvmbM, 2 st p",#
N4622,3156,3409,...,...,12,35,04,,+3.25,129,58.5,,+19.8,"pF, S, R, pslbM, f of 2",...
N4623,3157,1389,II 149,...,12,35,04,,+3.04,81,33.9,,+19.8,"cF, pL, E, pslbM, r",...
N4624,3158,1390,...,...,12,35,07,,+3.06,86,10.3,,+19.8,"B, E",...
N4625,3160,II 660,...,...,12,35,10,,+2.88,47,57.0,,+19.8,"pF, S, R",...
N4626,3161,1393=3410,II 772,...,12,35,10,,+3.10,96,16.2,,+19.8,"vF, cS, lE, glbM",...
N4627,3159,1391,II 659,...,12,35,11,,+2.94,56,39.1,,+19.8,"F, S, R, np of 2",...
N4628,3162,1394=3411,II 773,...,12,35,11,,+3.10,96,11.4,,+19.8,"cF, S, E, gbM",...
N4629,3163,...,...,d'A,12,35,21,,+3.07,91,02.2,,+19.8,"pB, pL, E, lbM, ? biN",...
N4630,3164,1395,II 532,...,12,35,22,,+3.06,85,16.4,,+19.8,"cF, S, R, lbM",...
N4631,3165,1397,V 42,...,12,35,22,,+2.93,56,40.9,,+19.8,"!, vB, vL, eE 70d+-, bMN, *12 att n",#
N4632,3166,1396,I 14,...,12,35,24,,+3.07,89,18.9,,+19.8,"pB, L, E 45d+-",...
N4633,...,...,...,Sw VI,12,35,24,,+3.02,74,51.5,,+19.8,"eeF, pS, F * close p, III 603 s",...
N4634,3167,1398,III 603,...,12,35,39,,+3.02,74,56.0,,+19.8,"vF, L, mE 135d+-, vgbM",...
N4635,3168,1400,...,...,12,35,40,,+2.99,69,17.5,,+19.8,"vF, L, vglbM",...
N4636,3169=3170,1399=1401,II 38,...,12,35,41,,+3.06,86,32.7,,+19.8,"B, L, iR, vgvmbM, r",*
N4637,3172,...,...,Ld R,12,35,43,+-,+3.05,77,47,+-,+19.8,Makes a D neb with h 1402 (?),*
N4638,3171,1402,II 70=II 176,...,12,35,44,,+3.03,77,47.4,,+19.8,"F, R, gbM",...
N4639,3173,1403,II 125,...,12,35,49,,+3.02,75,58.7,,+19.8,"pB, S, E, r, *12 sf 1'",...
N4640,...,...,...,Sw VI,12,35,54,,+3.02,76,58.1,,+19.8,"eF, pL, lE, * nr p",...
N4641,...,...,...,Sw VI,12,35,58,,+3.02,77,11.1,,+19.8,"eF, pL, R, F * nf f",...
N4642,3175,...,III 494,...,12,36,07,,+3.07,89,53.5,,+19.8,"vF, cS, E",...
N4643,3176,1404,I 10,...,12,36,11,,+3.06,87,15.3,,+19.8,"cB, pS, lE, mbM",...
N4644,3177,1406,"II 794, 1",...,12,36,18,,+2.75,34,04.4,,+19.8,"vF, S, R, gbM",*
N4645,3178,3412,...,...,12,36,22,,+3.26,130,58.8,,+19.8,"pB, S, psbM",...
N4646,3179,1407,"II 794, 2",...,12,36,26,,+2.76,34,22.4,,+19.8,"F, S, 4 vS st sp",*
N4647,3180,1405,III 44,...,12,36,29,,+3.03,77,39.0,,+19.8,"pF, pL, lE 115d+-, np of D neb",#
N4648,3181,1410,I 274,...,12,36,33,,+2.26,14,48.6,,+19.8,"pB, cS, R, gbM, ** p",...
N4649,3182,1408,...,M 60,12,36,37,,+3.03,77,40.8,,+19.8,"vB, pL, R, f of D neb",#
N4650,3183,3413,...,...,12,36,41,,+3.26,129,57.6,,+19.8,"vF, R, bM, r",...
N4651,3184,1409,II 12,...,12,36,42,,+3.01,72,50.5,,+19.8,"cB, L, E 90d, gbM, r",...
N4652,3185,1413,...,...,12,36,49,,+2.70,30,16.3,,+19.8,"pF, pL, gbM, 2 B st 6' np",...
N4653,3186,...,III 662,...,12,36,50,,+3.07,89,47.8,,+19.8,"vF, pL",...
N4654,3187,1411,II 126,...,12,36,54,,+3.02,76,07.1,,+19.8,"F, vL, pmE, ? D, 3 st nr",...
N4655,3188,1412,II 661,...,12,36,55,,+2.88,48,12.4,,+19.8,"vF, vS, stellar, *15 f",...
N4656,3189,1414,I 176,...,12,37,09,,+2.93,57,04.0,,+19.8,"!, pB, L, vmE 34d, sp of 2",*#
N4657,3190,1415,I 177,...,12,37,18,,+2.93,57,00.8,,+19.8,"!, pF, L, E 90d+-, nf of 2",*#
N4658,3191,3414,II 558,...,12,37,23,,+3.11,99,18.9,,+19.8,"vF, L, E, *16 att, *9 p",...
N4659,3192,1416,II 127,...,12,37,28,,+3.02,75,44.4,,+19.8,"F, cS, R, bM, r",...
N4660,3193,1417,II 71,...,12,37,29,,+3.03,78,04.1,,+19.8,"vB, S, vsvmbMN",...
N4661,3194,3415,...,...,12,37,38,,+3.26,130,19.9,,+19.8,"F, pL, R, gbM",...
N4662,3195,1418,II 643,...,12,37,43,,+2.90,52,06.0,,+19.8,"pF, pL, R, gbM, r",...
N4663,...,...,...,T V,12,37,43,,+3.11,99,24,,+19.8,"vF, S, * 13-14 f",...
N4664,3196,...,II 39,...,12,37,46,,+3.06,86,00.8,,+19.8,"pB, 2 S st in M, S * p (? h 1419)",*
N4665,3197,1419,I 142,...,12,37,58,,+3.06,86,10.7,,+19.8,"B, pL, iR, mbM, *10 sp",...
N4666,3198,1420,I 15,...,12,37,58,,+3.07,89,41.7,,+19.8,"B, vL, mE 45d+-, psbM",...
N4667,3199,1421,...,...,12,38,12,,+3.02,77,47.5,,+19.8,"B, S, R, psbM (?)",*
N4668,3200,...,III 663,...,12,38,23,,+3.07,89,47.0,,+19.8,"vF, S, iF",...
N4669,5668,...,...,d'A,12,38,23,,+2.74,34,21.9,,+19.8,"F, E (? r)",...
N4670,3201,1422,III 328,...,12,38,24,,+2.95,62,06.6,,+19.8,"pF, cS, R, bM, r, p of 2",...
N4671,3202,1423,II 774,...,12,38,32,,+3.10,96,18.1,,+19.8,"pF, S, R, psmbM",...
N4672,3203,3416,...,...,12,38,36,,+3.27,130,56.9,,+19.8,"eF, S, R, vgbM",...
N4673,3204,1424,III 329,...,12,38,44,,+2.95,62,10.4,,+19.8,"F, vS, R, sbM *10, f of 2",...
N4674,3205,3417,...,...,12,38,47,,+3.10,97,52.7,,+19.8,"vF, cS, R, glbM",...
N4675,3206,...,III 778,...,12,39,11,,+2.73,34,28.7,,+19.8,"cF, S, lE",*
N4676,3207,1425,II 326,...,12,39,18,,+2.93,58,30.1,,+19.7,"vF, pmE, ? biN",...
N4677,3208,3418,...,...,12,39,18,,+3.27,130,49.9,,+19.7,"eF, lE, vgbM",...
N4678,...,...,...,L II,12,39,27,,+3.09,93,49.2,,+19.7,"eF, eS, R (neb ?), * 2sec f",...
N4679,3209,3419,...,...,12,39,36,,+3.26,128,48.1,,+19.7,"eeF, pL, R",...
N4680,3210,3420,...,...,12,39,36,,+3.12,100,52.6,,+19.7,"eF, S, 1 or 2 st inv",...
N4681,3211,3421,...,...,12,39,46,,+3.29,132,34.8,,+19.7,"pF, S, R, gbM",...
N4682,3212,3423,III 523,...,12,39,58,,+3.11,99,17.5,,+19.7,"cF, L, E 45d+-, gvlbM",...
N4683,3213,3422,...,...,12,40,03,,+3.28,130,47.4,,+19.7,"eF, pS, R, vgbM, S * sp",...
N4684,3214,1426,II 181,...,12,40,06,,+3.08,91,57.8,,+19.7,"B, pL, pmE 25d",*
N4685,3215,1427,III 398,...,12,40,13,,+2.98,69,46.9,,+19.7,"F, S, R, sbM *, rr",...
N4686,3216,1428,II 795,...,12,40,19,,+2.73,34,42.0,,+19.7,"pF, vS, vmE, vsmbM",*
N4687,3217,1430,...,...,12,40,39,,+2.90,53,52.9,,+19.7,"vF, vS, R, psbM",...
N4688,3218,1429,III 543,...,12,40,43,,+3.05,84,54.0,,+19.7,"eF, pL, *9-10 p 10sec",...
N4689,3219,1431,II 128,...,12,40,44,,+3.01,75,28.6,,+19.7,"pB, vL, E, vglbM, r",...
N4690,3220,...,III 664,...,12,40,47,,+3.08,90,54.5,,+19.7,"vF, S",...
N4691,3221,1432,II 182,...,12,41,00,,+3.08,92,33.5,,+19.7,"pB, pL, E 90d+-, mbM",...
N4692,3222,1433,II 381,...,12,41,03,,+2.94,62,00.7,,+19.7,"F, cS, R, bM",...
N4693,3223,...,III 906,...,12,41,06,,+2.33,18,03.7,,+19.7,"vF, plE",...
N4694,3225,1434,II 72,...,12,41,11,,+3.02,78,14.8,,+19.7,"pF, S, vlE",...
N4695,3224,1435,II 796,...,12,41,12,,+2.73,34,51.4,,+19.7,"eF, pS, vlE, mbMN",*
N4696,3226,3424,...,Dunlop 510?,12,41,12,,+3.28,130,32.5,,+19.7,"pB, L, R, gbM, r",...
N4697,3227,1436,I 39,...,12,41,22,,+3.09,95,02.2,,+19.7,"vB, L, lE 45d+-, smbMN",...
N4698,3228,...,I 8=III 6,...,12,41,28,,+3.03,80,44.9,,+19.7,"cB, pL, iR, bM, r",*
N4699,3229,1437=3425,I 129,...,12,41,47,,+3.11,97,54.1,,+19.7,"vB, R, vmbMrN, r",...
N4700,3230,1438=3426,III 524,...,12,41,50,,+3.12,100,38.3,,+19.7,"F, L, mE 40d, vlbM, B * p",...
N4701,3231,...,II 578,...,12,42,02,,+3.05,85,50.7,,+19.7,"F, S",...
N4702,5669,...,...,d'A,12,42,03,,+2.94,62,00.7,,+19.7,"Cl, F, S, vmC",...
N4703,3232,...,III 514,...,12,42,06,,+3.11,98,21.7,,+19.7,"eF, cS, pmE",...
N4704,3233,1439,II 662,...,12,42,09,,+2.84,47,18.7,,+19.7,"cF, S, R, gbM",...
N4705,3238,1440,III 610,d'A,12,42,12,,+3.09,94,26.1,,+19.7,"cF, pL, lE",...
N4706,3234,3427,...,...,12,42,16,,+3.29,130,31.8,,+19.7,"vF, vS, R, psbM",...
N4707,3235,...,III 815,...,12,42,20,,+2.75,38,02.7,,+19.7,"S, stellar",...
N4708,3236,...,III 722,...,12,42,23,,+3.12,100,20.7,,+19.7,"eF, S",...
N4709,3237,3428,...,Dunlop 511,12,42,27,,+3.29,130,36.2,,+19.7,"pB, cS, R, gbM",...
N4710,3240,1441,II 95,...,12,42,39,,+3.00,74,04.3,,+19.7,"cB, pL, vmE 28.5d, sbMN",#
N4711,3242,1443,II 412,...,12,42,40,,+2.89,53,54.3,,+19.7,"F, S, E, glbM, er",...
N4712,3241=3239,1442,...,...,12,42,41,,+2.95,63,45.7,,+19.7,"vF, pL",...
N4713,3243,1444,I 140,...,12,42,52,,+3.05,83,55.4,,+19.7,"pB, L, vlE, glbM",...
N4714,3244,1445,III 536,...,12,43,02,,+3.13,102,33.9,,+19.7,"F, pS, R, gbM",...
N4715,5670,...,...,d'A,12,43,08,,+2.94,61,25.0,,+19.7,"F, S, R",...
N4716,...,...,...,T V,12,43,17,,+3.11,98,41.3,,+19.7,"}Double neb, np brtr & smbM, sf one fntr",...
N4717,...,...,...,T V,12,43,18,,+3.11,98,42.0,,+19.7,"}Double neb, np brtr & smbM, sf one fntr",...
N4718,3245,1446,...,T V,12,43,20,,+3.09,94,30.9,,+19.7,"eF, vS, bet 2 st",...
N4719,3246,1448,III 424,...,12,43,23,,+2.90,56,04.6,,+19.7,"vF, stellar",...
N4720,3248,1447,III 611,...,12,43,26,,+3.09,93,23.2,,+19.7,"eF, S, bM",...
N4721,5671,...,...,d'A,12,43,29,,+2.94,61,55.3,,+19.7,"vF, vS, ? R",...
N4722,...,...,...,T V,12,43,30,+-,+3.13,102,34,,+19.7,"}2 vF, vS, f III 356",...
N4723,...,...,...,T V,12,43,30,+-,+3.13,102,34,,+19.7,"}2 vF, vS, f III 356",...
N4724,3250,1449,III 280,...,12,43,34,,+3.14,103,34.5,,+19.7,"F, vS, R, stellar, np of 2",...
N4725,3249,1451,I 84,...,12,43,35,,+2.95,63,44.2,,+19.7,"vB, vL, E, vg, vsvmbMeBN",#
N4726,...,...,...,T V,12,43,36,,+3.14,103,30,,+19.7,"vF, 4' n of D neb",...
N4727,3251,1450,II 298,...,12,43,38,,+3.14,103,35.0,,+19.7,"F, pL, R, lbM, sf of 2",...
N4728,5672,...,...,d'A,12,43,38,,+2.94,61,48.1,,+19.7,"eF, eS",...
N4729,3252,3430,...,...,12,43,,,+3.29,130,20,+-,+19.7,"neb, 1st of 3 p, a little s of h 3433",...
N4730,3253,3431,...,...,12,43,,,+3.29,130,20,+-,+19.7,"2nd of 3 p, a little s of h 3433",...
N4731,3254,1452,I 41,...,12,43,45,,+3.10,95,37.8,,+19.7,"vF, pL, E",*
N4732,3255,...,II 814,...,12,43,54,,+2.72,36,20.7,,+19.7,"F, S, vsmbM",...
N4733,3256,1453,II 73,...,12,44,03,,+3.02,78,19.8,,+19.7,"cF, pL, lE, r, *12 p",*
N4734,3257,1454,...,...,12,44,05,,+3.05,84,23.3,,+19.7,"vF, vS, R",...
N4735,...,...,...,Bigourdan,12,44,12,,+2.93,60,18.6,,+19.7,"vF, vlbM",...
N4736,3258,1456,...,"Mechain, M 94",12,44,17,,+2.84,48,07.0,,+19.7,"vB, L, iR, vsvmbMBN, r",#
N4737,3259,1457,III 496,...,12,44,19,,+2.89,55,05.2,,+19.7,"eF, vS, pmE",...
N4738,3247,...,...,"Ld R, Bigourdan",12,44,19,,+2.92,60,27.5,,+19.7,"vF, E 30d, vlbM",*
N4739,3260,1455,III 515,...,12,44,21,,+3.11,97,39.2,,+19.7,"F, pL, lE, pglbM",...
N4740,...,...,...,Sw VI,12,44,26,,+3.14,103,33.5,,+19.7,"pF, pS, R, mbM",...
N4741,3261,1458,III 721,...,12,44,30,,+2.78,41,33.9,,+19.7,"vF, S, R, psbM",...
N4742,3262,3432,I 133,...,12,44,31,,+3.12,99,41.6,,+19.7,"pB, vS, vbMN = *11, *10 sf",...
N4743,3263,3429,...,...,12,44,31,,+3.30,130,37.9,,+19.7,"F, R, gbM",...
N4744,3264,3433,...,...,12,44,37,,+3.30,130,18.7,,+19.7,"F, L, E, gbM, 3rd of 3",...
N4745,5673,...,...,d'A,12,44,38,,+2.93,61,48.6,,+19.7,"eF, *6 n",...
N4746,3265,1460,...,...,12,44,55,,+3.01,77,09.6,,+19.7,"pB, mE, r",...
N4747,3266=3269,...,II 344,...,12,44,55,,+2.94,63,28.7,,+19.7,"F, pL, lE",...
N4748,3267,1459,III 537,...,12,44,55,,+3.13,102,38.8,,+19.7,"F, vS, iR, gbM",...
N4749,3268,...,III 907,...,12,44,56,,+2.24,17,36.7,,+19.7,"vF, cL, E 135d+-",...
N4750,3270,1463,IV 78,...,12,45,07,,+2.18,16,21.6,,+19.7,"pB, L, R, vg, vsbM",...
N4751,3271,3434,...,...,12,45,07,,+3.31,131,54.5,,+19.7,"B, pS, R, vg, vsmbM",...
N4752,3272,...,III 82,...,12,45,10,,+3.01,75,44.7,,+19.7,"vF, S, E, r",...
N4753,3273,1461,I 16,...,12,45,12,,+3.08,90,26.2,,+19.7,"cB, L, vlE, vglbM",...
N4754,3274,1462,I 25=II 74,...,12,45,15,,+3.02,77,55.5,,+19.7,"B, pL, R, psbM, p of 2",...
N4755,3275,3435,...,"Lac II 12, D 301",12,45,22,,+3.53,149,35.3,,+19.6,"Cl, vL, st vB (kappa Crucis)",#
N4756,3276,1464,III 281,...,12,45,35,,+3.14,104,38.8,,+19.6,"vF, pS, r",...
N4757,...,...,...,T V,12,45,35,,+3.12,99,34.5,,+19.6,vF,...
N4758,3277,1465,III 70,...,12,45,46,,+2.99,73,23.3,,+19.6,"vF, pL, E ?",...
N4759,...,...,II 559,"d'A, T V",12,45,49,,+3.11,98,26.5,,+19.6,"pL, double, *10 2' sp",...
N4760,5674,...,...,Winnecke,12,45,50,,+3.12,99,44.0,,+19.6,"pB, R",...
N4761,...,...,...,T V,12,45,52,,+3.11,98,26.5,,+19.6,"eF, eS, 1' f D neb II 559",...
N4762,3278,1466,II 75,...,12,45,54,,+3.02,78,00.5,,+19.6,"pB, vmE 31d, 3 B st s, f of 2",#
N4763,3279,...,III 489,...,12,45,56,,+3.15,106,13.7,,+19.6,"vF, S, lbM",...
N4764,...,...,...,T V,12,46,00,,+3.11,98,28.5,,+19.6,"eF, eS, sf D neb II 559",...
N4765,3280,1467,III 544,...,12,46,08,,+3.05,84,46.5,,+19.6,"F, cS, R, gbM",...
N4766,...,...,...,T V,12,46,10,,+3.12,99,36.0,,+19.6,vF,...
N4767,3281,3436,...,...,12,46,11,,+3.30,128,58.1,,+19.6,"B, pS, lE, mbM",...
N4768,...,...,...,T V,12,46,,,+3.12,98,46,,+19.6,"}vF, vS, p III 525 on parallel",...
N4769,...,...,...,T V,12,46,,,+3.12,98,46,,+19.6,"}vF, vS, p III 525 on parallel",...
N4770,3282,...,III 525,...,12,46,13,,+3.12,98,45.7,,+19.6,"vF, vS",...
N4771,3283,1468,II 535,...,12,46,13,,+3.06,87,58.4,,+19.6,"F, pL, mE, *9 p 90d",...
N4772,3285,1469,II 24,...,12,46,21,,+3.06,87,04.3,,+19.6,"pF, pS, R, mbM",...
N4773,3284,...,III 516,...,12,46,22,,+3.11,97,54.6,,+19.6,"vF, S",...
N4774,3286,1471,III 618,...,12,46,27,,+2.86,52,25.1,,+19.6,"eF, cS, R, bM",...
N4775,3287,1470,II 186,...,12,46,30,,+3.10,95,51.6,,+19.6,"F, cL, R, vglbM, r",...
N4776,3288,3437,...,...,12,46,47,,+3.11,98,26.6,,+19.6,"F, S, R, vlbM, p of D neb",...
N4777,3289,...,III 517,...,12,46,48,,+3.11,98,01.6,,+19.6,"vF, S",...
N4778,3290,3438,...,...,12,46,48,,+3.11,98,26.3,,+19.6,"vF, S, R, vlbM, f of D neb",...
N4779,3291,1472,III 106,...,12,46,48,,+3.02,79,31.6,,+19.6,"vF, pL, R, r",...
N4780,...,...,...,T V,12,46,50,,+3.11,97,53.5,,+19.6,"vF, f III 516 and 517",...
N4781,3292,...,I 134,...,12,47,05,,+3.12,99,46.6,,+19.6,"cB, vL, mE",...
N4782,3293,...,I 135,...,12,47,15,,+3.13,101,49.1,,+19.6,"pF, pS, R, mbM, p of D neb",...
N4783,3294,...,I 136,...,12,47,16,,+3.13,101,50.1,,+19.6,"pF, pS, R, mbM, f of D neb",...
N4784,3295,...,III 526,...,12,47,17,,+3.12,99,51.6,,+19.6,"eF, cS",...
N4785,3296,3439,...,...,12,47,17,,+3.38,137,58.9,,+19.6,"vF, S, R, glbM",...
N4786,3297,...,II 187,...,12,47,21,,+3.10,96,06.1,,+19.6,"pB, pS, mbM, r",...
N4787,5675,...,...,d'A,12,47,22,,+2.93,62,10.5,,+19.6,"vF, vS, II 345 f",...
N4788,5676,...,...,d'A,12,47,23,,+2.92,61,56.2,,+19.6,"vF, S",...
N4789,3298,1473,II 345,...,12,47,30,,+2.93,62,10.0,,+19.6,"F, R, *9 att 1' n",...
N4790,3299,...,II 560,...,12,47,32,,+3.12,99,28.6,,+19.6,"pF, pS, iR",...
N4791,5677,...,...,m 243,12,47,40,,+3.03,81,11,,+19.6,"eF, vS, lE, vlbM",...
N4792,...,...,...,T V,12,47,43,,+3.13,101,46.5,,+19.6,"vS, R, 7' nnp of II 538",...
N4793,3300,1475,I 93,...,12,47,54,,+2.91,60,18.1,,+19.6,"pB, pS, lE, *8 nf 1'",...
N4794,3301,...,II 538,...,12,47,55,,+3.13,101,52.1,,+19.6,"vF, S, 2 or 3 st near",...
N4795,3302,1474,II 21,...,12,47,59,,+3.03,81,10.9,,+19.6,"pF, pL, R, bM, r",...
N4796,5678,...,...,m 244,12,48,01,,+3.03,81,11,,+19.6,"eF, eS, alm stell, close f h 1474",...
N4797,5679,...,...,d'A,12,48,07,,+2.92,61,54.4,,+19.6,"F, S, R, lbM",...
N4798,3303,1477,II 382,...,12,48,07,,+2.92,61,49.3,,+19.6,"pF, pS, gbM",...
N4799,3304,1476,III 548,...,12,48,08,,+3.05,86,20.3,,+19.6,"cF, S, vS * att",...
N4800,3305,1478,I 211,...,12,48,11,,+2.77,42,42.7,,+19.6,"pB, cS, R, psbM, *14 p",...
N4801,3306,1479,III 816,...,12,48,27,,+2.68,36,08.5,,+19.6,"eF, S, lE",...
N4802,...,...,...,T V,12,48,29,,+3.13,101,17.7,,+19.6,"vF, S, *10 att",...
N4803,5680,...,...,m 245,12,48,31,,+3.03,81,00,,+19.6,"eF, eS, R, lbM",...
N4804,3307,...,IV 40,...,12,48,34,,+3.14,102,17.6,,+19.6,"S, att to pB *",...
N4805,...,...,...,Bigourdan,12,48,38,,+2.90,61,15,,+19.6,vF,...
N4806,3308,3440,...,...,12,48,39,,+3.23,118,45.0,,+19.6,"F, cS, R, gvlbM",...
N4807,5681,...,...,d'A,12,48,40,,+2.91,61,43.2,,+19.6,"F, pS, R, bM",...
N4808,3311,1480,I 141,...,12,48,43,,+3.05,84,56.0,,+19.6,"pB, cL, E 135d+-",...
N4809,3309,...,...,Ld R*,12,48,45,,+3.05,86,42,+-,+19.6,"{F, D neb, E at right angles to each other",...
N4810,3310,...,...,Ld R*,12,48,45,,+3.05,86,42,+-,+19.6,"{F, D neb, E at right angles to each other",...
N4811,3312,3441,...,...,12,49,06,,+3.33,131,02.3,,+19.6,"eF, cS, R, gbM, p of 2",...
N4812,3313,3442,...,...,12,49,06,,+3.33,131,03.8,,+19.6,"eF, S, R, gbM, f of 2",...
N4813,3316,1482,II 777,...,12,49,20,,+3.10,96,03.5,,+19.6,"F, S, R, bM",...
N4814,3315,1483,I 243,...,12,49,22,,+2.59,30,53.7,,+19.6,"B, pS, vlE, vgbM",...
N4815,3317,3443,...,...,12,49,24,,+3.68,154,11.8,,+19.6,"Cl, pL, pRi, iF, st 10...18",...
N4816,3314,1481,II 383,...,12,49,25,,+2.92,61,29.8,,+19.6,"vF, pL",...
N4817,...,...,...,Bigourdan,12,49,26,,+2.92,61,15,,+19.6,"vF, no N",...
N4818,3318,1484=3445,II 549,...,12,49,33,,+3.11,97,46.1,,+19.6,"pB, L, pmE 0d, gbM",...
N4819,3324,1487,II 346,d'A,12,49,40,,+2.92,62,15.2,,+19.6,"vF, pL, iF",...
N4820,...,...,...,T V,12,49,41,,+3.14,102,58,,+19.6,"vS, sp of II 563",...
N4821,5682,...,...,d'A,12,49,42,,+2.92,62,16.6,,+19.6,"vF, vS, II 346 np",...
N4822,...,...,...,T V,12,49,46,,+3.12,100,00.0,,+19.6,"F, st inv",...
N4823,...,...,...,T V,12,49,47,,+3.14,102,55,,+19.6,"vS, sp of II 563",...
N4824,...,...,...,Bigourdan,12,49,48,,+2.92,61,48.0,,+19.6,"vF, vS",...
N4825,3320,...,II 563,...,12,49,51,,+3.14,102,54.6,,+19.6,"pB, iF, bM",...
N4826,3321,1486,...,M 64,12,49,51,,+2.95,67,33.5,,+19.6,"! vB, vL, vmE 120d+-, bMSBN",#
N4827,3319,1485,II 384,...,12,49,53,,+2.92,62,03.8,,+19.6,"F, cL",...
N4828,5683,...,...,d'A,12,49,53,,+2.91,61,13.3,,+19.6,"F, S, R",...
N4829,...,...,...,T V,12,50,03,,+3.14,102,59,,+19.6,"vS, sf II 563",...
N4830,...,...,...,T IV and V,12,50,03,,+3.17,108,56.0,,+19.6,"F, L, st inv, *8m 5' sf",...
N4831,3322,3447,...,...,12,50,06,,+3.22,116,32.2,,+19.6,"F, S, R, gbM",...
N4832,3323,3446,...,...,12,50,06,,+3.32,129,59.6,,+19.6,"pF, vS, R, sbM *17, *10, 70.3d",...
N4833,3325,3444,...,"Lac I 4, D 164",12,50,08,,+3.90,160,06.9,,+19.6,"GC, B, L, R, g, vsbM, st 12",...
N4834,3326,1488,III 817,...,12,50,11,,+2.68,36,56.7,,+19.6,"vF, S, iR, bM",...
N4835,3327,3448,...,...,12,50,15,,+3.38,135,30.0,,+19.6,"F, pL, mE, vglbM",...
N4836,...,...,...,T V,12,50,15,,+3.14,101,59.2,,+19.6,"vF, L, dif",...
N4837,3328,1489,...,...,12,50,23,,+2.73,40,26.2,,+19.6,Neb ?,...
N4838,3329,1490,...,T V,12,50,36,,+3.14,102,18.0,,+19.5,"vF, pS, R, 4 S st sp",...
N4839,3333,1494,II 386,d'A,12,50,36,,+2.91,61,44.9,,+19.5,"F, pL, R",...
N4840,5684,...,II 385,d'A,12,50,45,,+2.91,61,38.6,,+19.5,"vF, vS",...
N4841,3331,1493,II 387,...,12,50,46,,+2.91,60,46.0,,+19.5,"pF, pL, R, vS * att",...
N4842,5685,...,...,d'A,12,50,46,,+2.91,61,44.2,,+19.5,"vF, vS, h 1494 sp",...
N4843,3332,1492,III 613,...,12,50,48,,+3.09,92,51.4,,+19.5,"cF, E, er, * sf 30""",...
N4844,...,...,...,T V,12,50,51,,+3.14,102,18.6,,+19.5,"F, S",...
N4845,3330,1491,II 536,...,12,50,52,,+3.06,87,40.4,,+19.5,"pF, pL, pmE, vgbM, * nf 30d",...
N4846,3334,1495,...,...,12,51,09,,+2.84,51,52.1,,+19.5,eF,...
N4847,...,...,...,T V,12,51,10,,+3.14,102,22.6,,+19.5,"F, S neb *, *9 p 40sec on parallel",...
N4848,5686,...,...,d'A,12,51,17,,+2.91,61,00.0,,+19.5,"pF, S, lE",...
N4849,5687,...,...,d'A,12,51,28,,+2.92,62,56.1,,+19.5,"pB, R, bM",...
N4850,5688,...,...,d'A,12,51,29,,+2.91,61,16.3,,+19.5,"F, S, R",...
N4851,5689,...,...,d'A,12,51,33,,+2.91,61,05.3,,+19.5,"F, vS, r",...
